# Tw (C), epsilon (g/cm2/s), Jd (A/cm2)
Tw, epsilon,Jd
1256.68057559,1.17787715854e-11,0.351706990172
1264.31121741,1.43383771606e-11,0.393265636978
1269.81455153,1.79556032255e-11,0.425974890548
1277.57113343,2.18524431965e-11,0.476309232825
1284.28178038,2.66011247574e-11,0.524180668066
1291.05104282,3.33119457068e-11,0.576887328956
1297.8767034,4.17061403127e-11,0.634893674233
1304.75645786,5.07691625888e-11,0.698703630698
1311.69695719,6.35623579938e-11,0.768958673606
1319.86430479,7.95792789897e-11,0.859854760433
1334.0546259,1.1793697928e-10,1.04138327868
1341.2434668,1.47665826321e-10,1.14609389727
1348.49092546,1.79754594625e-10,1.26128432954
1357.02453922,2.25050509246e-10,1.41037629527
1364.41097665,2.81779893079e-10,1.55219042473
1373.10533428,3.52793032964e-10,1.73566937249
1380.62823092,4.29457310518e-10,1.91011273457
1388.22017265,5.37712335979e-10,2.10217564398
1395.87561334,6.54575882624e-10,2.31346002718
1403.6014762,8.19577448796e-10,2.54607387108
1416.62299657,1.11629762307e-09,2.98662708988
1424.52998755,1.35887653708e-09,3.28680546192
1432.51421141,1.75000786288e-09,3.61743719709
1440.5633515,2.13029623591e-09,3.98100753876
1450.04536458,2.66716571565e-09,4.45158837896
1458.25643143,3.33948886718e-09,4.89919809334
1466.53877915,4.06518205689e-09,5.39160416336
1474.89996413,5.0899087906e-09,5.93371933046
1483.33802361,6.37294249902e-09,6.53035814533
1493.27246314,7.75746812914e-09,7.3020028816
1523.75210348,1.70380543785e-08,10.2112756503
1534.12492376,2.07395820445e-08,11.4177360772
1543.11073627,2.52464314595e-08,12.5652171963
1552.18602789,3.16104006213e-08,13.8286568501
1562.87976565,3.95767383774e-08,15.4635783804
1572.13915451,4.81770274198e-08,17.0176661703
1581.49193752,6.03212038076e-08,18.7288020718
1590.93492369,7.55266114095e-08,20.6119936503
1611.69974494,1.1510919056e-07,25.3647157644
1621.43671472,1.44125225565e-07,27.9151521956
1631.26930315,1.80455448804e-07,30.7220364439
1641.19407635,2.19669620629e-07,33.8095974562
1651.22196668,2.75042622303e-07,37.2091714896
1663.03880982,3.34795799115e-07,41.6063865854
1673.28462849,4.19189118008e-07,45.7899321495
1683.63338082,5.24855799029e-07,50.3941355721
