Tw,epsilon,Jd
1386.32521017,1.40805623493e-10,2.05266
1400.16386295,2.56448403652e-10,2.44007
1414.47987842,3.73809212216e-10,2.90967
1422.86056364,5.35636298254e-10,3.22124
1432.37608583,7.94255077759e-10,3.61147
1450.49431838,1.30514871463e-09,4.47507
1460.43332955,1.80704929516e-09,5.02451
1471.86867629,2.5891666237e-09,5.73173
1483.16841512,3.77372283682e-09,6.51785
1500.73809749,6.30753980644e-09,7.93512
1510.12912157,8.2950689442e-09,8.80178
1525.25386108,1.27259437712e-08,10.3785
1539.05484234,1.85451350368e-08,12.035
1551.78502797,2.74915989655e-08,13.7705
1563.64321419,3.61468119722e-08,15.5867
1576.07056839,4.91812995268e-08,17.719
1586.43033641,6.46651069214e-08,19.6934
1595.89822314,8.07625457378e-08,21.6686
1605.62036095,1.06181779645e-07,23.8805
1614.26158427,1.25967932099e-07,26.0146
1622.57333599,1.54646466035e-07,28.2274
1630.85217605,1.96467174785e-07,30.598
1639.07241001,2.45346575183e-07,33.1271
1647.44342178,3.01161880308e-07,35.8938
1655.03909505,3.63412616064e-07,38.5817
1662.37718163,4.46097716329e-07,41.3484
1671.19323919,5.38195422934e-07,44.9066
1677.9835311,6.60632598694e-07,47.8316
1684.9197931,7.83555926882e-07,50.9945
1690.52022416,8.6788063885e-07,53.6835
1697.10032528,1.02934272632e-06,57.0045
1704.07009097,1.19996892642e-06,60.7215
1710.80491467,1.3989107257e-06,64.5176
1717.45384399,1.63072226176e-06,68.472
1723.274789,1.83708816779e-06,72.1103
1728.36396273,2.14180535467e-06,75.4317
1734.8473238,2.53962737647e-06,79.8606
