Tw,eps,Jd
2144.38093128,1.70987962751e-08,0.951677
2246.38540184,7.1931646281e-08,2.36259
2274.18392351,1.03064713418e-07,2.99068
2304.85506511,1.35543907046e-07,3.85734
2309.70847742,1.55449740002e-07,4.01372
2323.4236336,1.69336274188e-07,4.48732
2373.77864029,3.08290399122e-07,6.69471
2383.98124483,3.41625279486e-07,7.24721
2394.80595707,3.91759917903e-07,7.87836
2436.46320506,6.11223438898e-07,10.8
2444.10220309,6.7729832255e-07,11.4317
2468.92558864,9.05857741125e-07,13.7224
2475.11079474,9.86733788719e-07,14.3543
2481.78691901,1.03862793685e-06,15.0658
2505.90698774,1.4129278971e-06,17.9102
2511.39722058,1.46194151833e-06,18.6219
2517.27587585,1.56538079017e-06,19.4122
2522.3848104,1.67617747433e-06,20.1235
2527.33586825,1.7343230655e-06,20.8352
2532.13445888,1.82553431122e-06,21.5466
2548.58815752,2.16545917266e-06,24.1556
2552.79683977,2.24062924426e-06,24.8672
2557.34714585,2.35835945589e-06,25.6578
2571.5148865,2.79756380231e-06,28.2668
2575.17301196,2.94462503426e-06,28.9782
2579.14605378,3.04677231043e-06,29.7691
2582.63923514,3.20693383707e-06,30.4805
2586.43704543,3.31818044827e-06,31.2713
2599.77491118,3.80320731766e-06,34.1973
2603.20371015,3.86829868397e-06,34.9883
2606.22957977,4.002487645e-06,35.7
2617.50320027,4.50982822151e-06,38.4679
2620.58984454,4.6662714574e-06,39.2587
2623.32024155,4.82814161529e-06,39.9704
2626.30434436,4.9107745901e-06,40.7615
2628.94471316,5.08112641502e-06,41.4732
2639.11570265,5.62781742741e-06,44.3205
2641.56663156,5.72426854758e-06,45.0324
2644.24965794,5.82210455023e-06,45.8235
2653.06863317,6.33928095504e-06,48.5127
2655.57923917,6.44762840644e-06,49.3038
2657.80708943,6.67144638235e-06,50.0155
2660.24996115,6.78547101982e-06,50.8065
2662.65916452,6.9016034162e-06,51.5976
2670.60852243,7.38686224345e-06,54.2871
2672.87965818,7.38567171787e-06,55.0783
2675.12080506,7.64187623963e-06,55.8692
2682.53404075,8.17918440969e-06,58.5586
2684.65642932,8.31917001764e-06,59.3497
2686.75354373,8.4613566277e-06,60.1408
2688.61962318,8.60636974078e-06,60.8527
2697.47103565,9.0533643755e-06,64.3337
2699.42248026,9.20831145245e-06,65.1248
2701.35250333,9.36591042716e-06,65.9158
2704.77542674,9.5248906833e-06,67.3399
2708.68726365,9.85326129869e-06,69.0012
