x,phip_8sccm,phip_10sccm,phip_12sccm,Te_8sccm,Te_10sccm,Te_12sccm
2.9779,,15.2124,,,2.4795,
3.0047,,,,2.3191,,
4.9899,,,10.8952,,,2.1732
7.002,,11.814,,,2.2315,
7.9678,,,,,2.2461,
7.9946,12.9225,10.618,,,,
8.0215,,,,2.392,,
8.9873,,,,,,2.1003
9.0141,,,10.1222,2.4066,,
9.0677,12.2954,,,,,
13.9504,,,,,1.8523,
14.004,,9.2325,,,,
14.9966,9.0866,,8.6199,,,1.5169
15.0235,,,,1.969,,
19.9866,,,8.1094,,,1.1814
20.0134,,8.722,,1.6481,1.4731,
26.9886,,,7.9198,,,
27.0154,,,,,,1.0793
27.9812,,,,,1.196,
28.008,,8.7949,,,,
29.0007,8.4011,,,,,
29.0543,,,,1.2835,,
34.9832,,7.0884,,,1.2106,
35.0101,8.5907,,,1.2252,,
